2026-03-05 15:34:34,052 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=ae813053e5be46b7b8be5c15aac4e38e "HTTP/1.1 202 Accepted"
2026-03-05 15:34:44,390 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:34:45,813 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=e3fbebe85c2346b1b282c0a8b0a16e0b "HTTP/1.1 202 Accepted"
2026-03-05 15:34:46,166 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=e3fbebe85c2346b1b282c0a8b0a16e0b "HTTP/1.1 202 Accepted"
2026-03-05 15:34:46,511 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=e3fbebe85c2346b1b282c0a8b0a16e0b "HTTP/1.1 202 Accepted"
2026-03-05 15:35:02,620 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:35:04,118 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=2b55dc3a9d714e25996297156ef2ba58 "HTTP/1.1 202 Accepted"
2026-03-05 15:35:04,468 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=2b55dc3a9d714e25996297156ef2ba58 "HTTP/1.1 202 Accepted"
2026-03-05 15:35:04,826 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=2b55dc3a9d714e25996297156ef2ba58 "HTTP/1.1 202 Accepted"
2026-03-05 15:37:28,971 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:37:30,588 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=73cd19f8c89247f2b19f1de54a44e2b0 "HTTP/1.1 202 Accepted"
2026-03-05 15:37:31,125 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=73cd19f8c89247f2b19f1de54a44e2b0 "HTTP/1.1 202 Accepted"
2026-03-05 15:37:31,471 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=73cd19f8c89247f2b19f1de54a44e2b0 "HTTP/1.1 202 Accepted"
2026-03-05 15:40:14,452 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=25.59
2026-03-05 15:40:14,458 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=1.76
2026-03-05 15:40:18,156 | INFO     | ai_chat.backend | HTTP GET /api/conversations/4ab01f50-71c1-46d9-8e7c-ff51e7fffc3d status=200 ip=127.0.0.1 duration_ms=1.41
2026-03-05 15:40:26,826 | INFO     | ai_chat.backend | HTTP OPTIONS /api/conversations/4ab01f50-71c1-46d9-8e7c-ff51e7fffc3d status=200 ip=127.0.0.1 duration_ms=0.26
2026-03-05 15:40:26,832 | INFO     | ai_chat.backend | HTTP DELETE /api/conversations/4ab01f50-71c1-46d9-8e7c-ff51e7fffc3d status=200 ip=127.0.0.1 duration_ms=3.79
2026-03-05 15:40:26,837 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=1.79
2026-03-05 15:40:28,836 | INFO     | ai_chat.backend | HTTP OPTIONS /api/conversations/ec032fe1-a762-46b2-808d-a92643c6f358 status=200 ip=127.0.0.1 duration_ms=0.19
2026-03-05 15:40:28,838 | INFO     | ai_chat.backend | HTTP DELETE /api/conversations/ec032fe1-a762-46b2-808d-a92643c6f358 status=200 ip=127.0.0.1 duration_ms=1.24
